,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
2256,24.0,female,High School,43994.0,0,RENT,13000.0,DEBTCONSOLIDATION,7.29,0.3,3.0,617.0,No,1.0
25622,33.0,male,Bachelor,106591.0,12,MORTGAGE,2800.0,DEBTCONSOLIDATION,7.14,0.03,9.0,664.0,Yes,0.0
5603,21.0,male,Master,55377.0,0,MORTGAGE,11700.0,PERSONAL,10.74,0.21,2.0,680.0,No,0.0
13452,22.0,male,Master,42622.0,0,OWN,5000.0,MEDICAL,11.14,0.12,2.0,551.0,Yes,0.0
42537,27.0,male,,69275.0,4,RENT,3000.0,DEBTCONSOLIDATION,11.03,0.04,5.0,654.0,No,
7614,26.0,male,Bachelor,66249.0,1,MORTGAGE,,MEDICAL,5.79,0.08,3.0,652.0,Yes,
42568,,female,Associate,138590.0,6,MORTGAGE,19998.0,DEBTCONSOLIDATION,14.52,0.14,8.0,667.0,No,1.0
14878,23.0,female,Master,57192.0,0,RENT,15000.0,PERSONAL,12.04,0.26,2.0,613.0,No,1.0
245,24.0,female,Bachelor,100658.0,1,RENT,25000.0,EDUCATION,11.12,0.25,3.0,695.0,No,0.0
27877,30.0,,Associate,627222.0,4,MORTGAGE,2500.0,HOMEIMPROVEMENT,7.43,0.0,9.0,637.0,No,0.0
1399,21.0,male,Associate,42664.0,0,RENT,1000.0,DEBTCONSOLIDATION,16.45,0.02,2.0,578.0,No,1.0
2973,23.0,female,,22337.0,2,RENT,3200.0,HOMEIMPROVEMENT,11.01,0.14,4.0,586.0,No,1.0
19565,33.0,female,Bachelor,72007.0,12,RENT,3000.0,MEDICAL,11.49,0.04,9.0,635.0,Yes,0.0
26730,31.0,male,Master,43243.0,6,RENT,15000.0,MEDICAL,13.11,0.35,9.0,624.0,No,1.0
21124,27.0,male,Associate,78686.0,8,RENT,5000.0,DEBTCONSOLIDATION,13.99,0.06,9.0,657.0,No,0.0
2631,23.0,,Bachelor,41224.0,0,OWN,9000.0,VENTURE,13.57,0.22,4.0,566.0,Yes,0.0
37676,32.0,male,High School,124344.0,13,MORTGAGE,35000.0,HOMEIMPROVEMENT,11.01,0.28,9.0,667.0,No,
30941,42.0,female,Associate,48871.0,20,RENT,10000.0,PERSONAL,16.0,0.2,12.0,706.0,No,1.0
19887,29.0,male,High School,44266.0,4,MORTGAGE,14000.0,PERSONAL,14.27,0.32,5.0,658.0,Yes,0.0
26580,,male,High School,128271.0,9,MORTGAGE,20000.0,PERSONAL,11.01,0.16,5.0,615.0,No,0.0
26731,31.0,male,,132871.0,11,MORTGAGE,6000.0,MEDICAL,7.4,0.05,6.0,671.0,No,0.0
14453,25.0,,High School,129242.0,1,MORTGAGE,7000.0,MEDICAL,12.87,0.05,2.0,600.0,Yes,0.0
22354,,female,Associate,44710.0,5,RENT,7000.0,DEBTCONSOLIDATION,10.78,0.16,8.0,,Yes,0.0
18142,,male,Bachelor,192085.0,5,MORTGAGE,16000.0,DEBTCONSOLIDATION,15.65,0.08,6.0,595.0,No,1.0
42053,27.0,male,Associate,132731.0,4,MORTGAGE,16000.0,DEBTCONSOLIDATION,14.61,0.12,7.0,,Yes,0.0
27498,28.0,female,Associate,173747.0,6,MORTGAGE,30000.0,PERSONAL,11.01,0.17,5.0,627.0,Yes,0.0
34256,32.0,male,Associate,72910.0,8,MORTGAGE,21000.0,HOMEIMPROVEMENT,14.05,0.29,11.0,635.0,Yes,0.0
20184,29.0,male,Bachelor,48134.0,8,MORTGAGE,16000.0,PERSONAL,5.99,0.33,8.0,590.0,Yes,0.0
19970,29.0,male,High School,25915.0,4,RENT,10400.0,PERSONAL,8.49,0.4,9.0,630.0,No,1.0
35436,29.0,female,High School,76925.0,4,RENT,10000.0,MEDICAL,14.71,0.13,7.0,524.0,Yes,0.0
42017,28.0,female,Bachelor,116071.0,5,MORTGAGE,4108.0,VENTURE,11.0,0.04,6.0,727.0,No,0.0
14160,26.0,male,Bachelor,36814.0,1,OWN,6000.0,PERSONAL,7.9,0.16,2.0,606.0,Yes,0.0
25783,30.0,male,Associate,109174.0,6,MORTGAGE,5000.0,PERSONAL,6.76,0.05,5.0,576.0,Yes,0.0
2132,21.0,female,Associate,37124.0,0,MORTGAGE,4750.0,PERSONAL,9.63,0.13,2.0,632.0,No,1.0
39196,28.0,male,Master,96921.0,6,MORTGAGE,3000.0,MEDICAL,5.91,0.03,4.0,653.0,Yes,0.0
37796,24.0,male,High School,88060.0,2,MORTGAGE,19000.0,PERSONAL,10.85,0.22,4.0,619.0,Yes,0.0
2489,22.0,male,Bachelor,39278.0,0,MORTGAGE,3625.0,EDUCATION,6.92,0.09,3.0,632.0,No,
5268,22.0,male,High School,54922.0,0,MORTGAGE,6500.0,MEDICAL,10.65,0.12,4.0,611.0,Yes,0.0
31636,36.0,male,Associate,141310.0,12,MORTGAGE,20400.0,HOMEIMPROVEMENT,13.06,0.14,11.0,597.0,Yes,0.0
3337,23.0,female,Master,44180.0,0,OWN,8500.0,EDUCATION,7.51,0.19,3.0,635.0,No,0.0
31847,37.0,female,Associate,192911.0,14,MORTGAGE,10000.0,HOMEIMPROVEMENT,7.51,0.05,13.0,598.0,No,0.0
30489,39.0,female,High School,68366.0,16,MORTGAGE,10000.0,PERSONAL,12.73,0.15,12.0,642.0,No,
5419,23.0,female,Associate,66606.0,3,RENT,5000.0,PERSONAL,14.17,0.08,4.0,558.0,No,0.0
3510,22.0,female,Associate,36213.0,0,RENT,,EDUCATION,9.99,0.29,3.0,581.0,No,1.0
5704,25.0,female,High School,27011.0,4,RENT,5200.0,MEDICAL,11.86,0.19,3.0,655.0,No,
43739,30.0,female,,47994.0,8,RENT,3000.0,PERSONAL,14.53,0.06,10.0,,No,1.0
37104,28.0,female,Master,105305.0,8,MORTGAGE,8115.0,EDUCATION,9.68,0.08,10.0,662.0,No,0.0
6563,23.0,male,High School,61198.0,3,MORTGAGE,3600.0,VENTURE,5.99,0.06,2.0,,Yes,0.0
34676,,male,High School,72979.0,13,MORTGAGE,8000.0,DEBTCONSOLIDATION,6.97,0.11,8.0,593.0,Yes,0.0
36364,31.0,male,Master,181224.0,6,MORTGAGE,18163.0,PERSONAL,13.5,0.1,10.0,690.0,No,0.0
15724,25.0,male,High School,190643.0,0,MORTGAGE,20000.0,VENTURE,14.26,0.1,2.0,619.0,No,0.0
21453,28.0,male,Bachelor,58669.0,5,MORTGAGE,10000.0,EDUCATION,6.92,0.17,8.0,583.0,Yes,0.0
9656,26.0,male,High School,59862.0,4,RENT,8400.0,VENTURE,18.25,0.14,4.0,649.0,No,1.0
169,23.0,male,Bachelor,72713.0,0,RENT,25000.0,PERSONAL,12.73,0.34,3.0,613.0,No,1.0
40224,,female,Bachelor,96896.0,3,MORTGAGE,5527.0,VENTURE,9.54,0.06,6.0,630.0,No,0.0
756,22.0,male,Associate,76808.0,0,RENT,20000.0,MEDICAL,14.91,0.26,4.0,611.0,No,1.0
40007,,female,High School,90945.0,1,MORTGAGE,8545.0,EDUCATION,6.92,0.09,3.0,,No,0.0
12657,25.0,female,High School,80652.0,1,MORTGAGE,1700.0,MEDICAL,6.76,0.02,4.0,679.0,No,1.0
22610,33.0,,High School,36726.0,11,RENT,7500.0,EDUCATION,11.86,0.2,5.0,521.0,No,1.0
32460,51.0,male,Bachelor,44388.0,31,RENT,10000.0,MEDICAL,15.65,0.23,30.0,698.0,Yes,0.0
5760,25.0,female,Associate,56438.0,2,MORTGAGE,1500.0,EDUCATION,7.49,0.03,2.0,663.0,No,0.0
21146,,female,Bachelor,85345.0,13,RENT,5000.0,DEBTCONSOLIDATION,9.91,0.06,7.0,658.0,No,0.0
18512,27.0,male,High School,21275.0,3,RENT,1000.0,VENTURE,7.29,0.05,5.0,673.0,Yes,
28644,,male,Master,87166.0,13,MORTGAGE,12800.0,MEDICAL,6.62,0.15,10.0,682.0,No,0.0
13551,22.0,male,Associate,112498.0,0,MORTGAGE,12000.0,MEDICAL,11.49,0.11,3.0,594.0,Yes,
27310,,male,,156956.0,3,MORTGAGE,12000.0,HOMEIMPROVEMENT,13.55,0.08,8.0,683.0,Yes,0.0
11699,23.0,female,Associate,90475.0,0,RENT,10000.0,PERSONAL,11.86,0.11,4.0,592.0,Yes,0.0
6208,22.0,female,,34053.0,0,RENT,6000.0,DEBTCONSOLIDATION,10.38,0.18,4.0,596.0,No,0.0
2764,21.0,female,,67003.0,0,RENT,12000.0,VENTURE,10.62,0.18,2.0,600.0,No,0.0
40514,28.0,female,Master,90964.0,8,RENT,20000.0,HOMEIMPROVEMENT,13.49,0.22,7.0,674.0,No,0.0
13982,23.0,male,,120827.0,0,MORTGAGE,4800.0,PERSONAL,11.49,0.04,2.0,678.0,No,0.0
18699,27.0,female,Bachelor,37311.0,9,RENT,16000.0,MEDICAL,10.0,0.43,5.0,,No,1.0
11606,25.0,male,Associate,90955.0,1,MORTGAGE,9600.0,DEBTCONSOLIDATION,5.42,0.11,4.0,682.0,No,0.0
40905,24.0,female,Associate,90560.0,2,MORTGAGE,3000.0,HOMEIMPROVEMENT,11.01,0.03,3.0,622.0,Yes,0.0
18382,30.0,female,Associate,76608.0,4,RENT,20000.0,PERSONAL,13.92,0.26,9.0,604.0,No,1.0
34169,35.0,male,Associate,35995.0,11,MORTGAGE,2500.0,PERSONAL,8.54,0.07,12.0,580.0,Yes,0.0
4611,24.0,female,Master,145219.0,1,RENT,10000.0,MEDICAL,7.88,0.07,2.0,610.0,Yes,0.0
28106,27.0,female,,123445.0,5,MORTGAGE,15000.0,VENTURE,12.84,0.12,8.0,589.0,Yes,0.0
28656,33.0,male,Bachelor,73326.0,13,OWN,10000.0,EDUCATION,13.98,0.14,6.0,650.0,Yes,0.0
23062,29.0,female,High School,72595.0,8,MORTGAGE,12000.0,DEBTCONSOLIDATION,7.29,0.17,7.0,643.0,Yes,0.0
12080,24.0,female,Associate,96024.0,0,OWN,3800.0,VENTURE,6.62,0.04,4.0,591.0,Yes,
31879,43.0,male,Master,235207.0,23,MORTGAGE,10000.0,EDUCATION,12.73,0.04,12.0,643.0,No,0.0
17068,23.0,male,Master,37161.0,1,RENT,10625.0,EDUCATION,6.92,0.29,4.0,,No,1.0
23096,30.0,,Associate,73270.0,10,MORTGAGE,9600.0,DEBTCONSOLIDATION,9.99,0.13,10.0,645.0,No,0.0
43322,33.0,male,Bachelor,58889.0,10,MORTGAGE,6939.0,PERSONAL,12.55,0.12,14.0,,No,1.0
30678,41.0,male,Associate,74147.0,22,MORTGAGE,8500.0,PERSONAL,11.01,0.11,14.0,640.0,Yes,0.0
6269,23.0,male,Master,58777.0,3,MORTGAGE,20000.0,VENTURE,12.18,0.34,2.0,673.0,No,0.0
6681,22.0,male,Master,60789.0,1,MORTGAGE,7000.0,PERSONAL,9.25,0.12,3.0,661.0,Yes,0.0
33270,23.0,male,High School,145089.0,0,MORTGAGE,3610.0,DEBTCONSOLIDATION,10.26,0.02,4.0,608.0,No,0.0
16995,23.0,,High School,205188.0,3,RENT,12000.0,PERSONAL,11.11,0.06,2.0,545.0,Yes,0.0
31988,37.0,,Associate,130610.0,16,RENT,20000.0,VENTURE,16.32,0.15,13.0,,No,1.0
33546,30.0,male,Associate,76310.0,6,MORTGAGE,13684.0,EDUCATION,10.9,0.18,5.0,535.0,Yes,0.0
17951,31.0,,Bachelor,147383.0,11,RENT,25600.0,EDUCATION,15.96,0.17,7.0,667.0,Yes,0.0
42012,36.0,male,,64572.0,14,RENT,3514.0,DEBTCONSOLIDATION,9.31,0.05,16.0,668.0,Yes,0.0
12780,26.0,male,High School,103011.0,2,MORTGAGE,11000.0,HOMEIMPROVEMENT,11.99,0.11,4.0,624.0,Yes,0.0
35727,24.0,,Associate,30912.0,2,RENT,3248.0,MEDICAL,13.75,0.11,4.0,606.0,No,0.0
25320,28.0,female,Bachelor,100600.0,4,MORTGAGE,3600.0,MEDICAL,14.72,0.04,9.0,670.0,Yes,0.0
29644,37.0,female,High School,66856.0,15,RENT,,PERSONAL,11.01,0.04,14.0,,No,0.0
25813,,male,High School,94535.0,9,MORTGAGE,20000.0,HOMEIMPROVEMENT,14.26,0.21,10.0,,No,1.0
23432,27.0,male,Master,81067.0,4,RENT,8050.0,DEBTCONSOLIDATION,14.72,0.1,9.0,725.0,No,0.0
11210,26.0,female,,87280.0,3,OWN,10000.0,MEDICAL,7.74,0.11,4.0,615.0,No,0.0
12183,24.0,female,High School,97155.0,2,MORTGAGE,5550.0,HOMEIMPROVEMENT,8.49,0.06,2.0,,No,0.0
43145,23.0,female,Bachelor,37152.0,2,RENT,6000.0,EDUCATION,14.89,0.16,4.0,615.0,No,1.0
10734,22.0,female,High School,49309.0,1,RENT,10000.0,EDUCATION,11.01,0.2,4.0,,Yes,0.0
41748,23.0,male,High School,66991.0,0,MORTGAGE,5000.0,VENTURE,7.07,0.07,3.0,668.0,Yes,0.0
31408,37.0,male,,111548.0,13,OWN,12000.0,MEDICAL,11.14,0.11,14.0,691.0,No,0.0
3114,22.0,female,High School,22854.0,0,RENT,3500.0,VENTURE,13.48,0.15,2.0,598.0,No,1.0
10020,24.0,male,Master,78807.0,1,OWN,3500.0,EDUCATION,6.76,0.04,4.0,724.0,No,0.0
13027,23.0,male,Bachelor,105254.0,2,MORTGAGE,15000.0,DEBTCONSOLIDATION,14.35,0.14,2.0,,Yes,0.0
9137,25.0,,High School,80376.0,0,RENT,5050.0,HOMEIMPROVEMENT,11.49,0.06,2.0,515.0,No,0.0
32521,73.0,male,Associate,47877.0,48,RENT,1800.0,MEDICAL,12.53,0.04,21.0,684.0,No,
1192,26.0,male,High School,85078.0,5,RENT,16525.0,MEDICAL,13.92,0.19,2.0,612.0,Yes,0.0
41009,26.0,male,Bachelor,88638.0,2,MORTGAGE,12000.0,EDUCATION,7.95,0.14,4.0,598.0,No,0.0
40893,30.0,female,,231956.0,5,MORTGAGE,20000.0,VENTURE,9.22,0.09,12.0,706.0,No,
6384,24.0,male,Bachelor,45793.0,0,RENT,6000.0,DEBTCONSOLIDATION,7.66,0.13,2.0,,No,0.0
35219,32.0,,High School,224619.0,9,MORTGAGE,10000.0,MEDICAL,15.27,0.04,10.0,,Yes,0.0
32756,36.0,female,High School,101793.0,14,RENT,6000.0,VENTURE,12.54,0.06,13.0,641.0,Yes,0.0
1581,25.0,male,Associate,43124.0,2,RENT,1500.0,MEDICAL,10.0,0.03,4.0,607.0,Yes,0.0
21669,32.0,male,High School,61089.0,4,OWN,10000.0,EDUCATION,6.03,0.16,9.0,674.0,No,
7644,26.0,male,Associate,44903.0,2,RENT,6825.0,VENTURE,7.49,0.15,2.0,609.0,No,0.0
6147,21.0,female,Bachelor,28507.0,0,RENT,6000.0,HOMEIMPROVEMENT,7.9,0.21,2.0,699.0,No,1.0
25503,28.0,male,High School,91200.0,7,RENT,12000.0,EDUCATION,6.03,0.13,6.0,,Yes,0.0
23332,29.0,,Bachelor,84794.0,7,RENT,8000.0,EDUCATION,7.49,0.09,5.0,694.0,Yes,0.0
25854,27.0,female,Associate,109982.0,4,MORTGAGE,,PERSONAL,7.49,0.1,7.0,629.0,No,0.0
28119,31.0,female,Master,67058.0,8,MORTGAGE,8000.0,HOMEIMPROVEMENT,7.49,0.12,9.0,681.0,No,0.0
32227,40.0,male,,79054.0,16,RENT,5000.0,HOMEIMPROVEMENT,9.63,0.06,17.0,673.0,No,0.0
20311,30.0,,Bachelor,49087.0,6,MORTGAGE,3000.0,DEBTCONSOLIDATION,11.71,0.06,7.0,648.0,No,0.0
33113,28.0,male,Associate,74248.0,3,MORTGAGE,12000.0,PERSONAL,8.57,0.16,6.0,691.0,Yes,0.0
11568,21.0,male,High School,90923.0,3,MORTGAGE,5400.0,EDUCATION,7.29,0.06,3.0,612.0,Yes,0.0
37779,24.0,female,,44255.0,2,RENT,7000.0,EDUCATION,7.25,0.16,4.0,546.0,Yes,0.0
5382,21.0,,Associate,55210.0,0,MORTGAGE,6250.0,DEBTCONSOLIDATION,5.42,0.11,3.0,558.0,Yes,0.0
19458,33.0,female,Bachelor,50517.0,10,RENT,3000.0,EDUCATION,10.0,0.06,8.0,684.0,No,1.0
6288,23.0,female,Associate,59325.0,3,OWN,5000.0,MEDICAL,7.49,0.08,2.0,662.0,Yes,0.0
11885,25.0,female,High School,93256.0,2,MORTGAGE,8000.0,EDUCATION,15.33,0.09,2.0,578.0,Yes,
25786,27.0,male,Associate,109291.0,4,MORTGAGE,5500.0,MEDICAL,10.25,0.05,9.0,653.0,No,0.0
7280,26.0,female,Doctorate,63408.0,4,MORTGAGE,6500.0,PERSONAL,6.76,0.1,4.0,648.0,No,0.0
14405,25.0,female,Master,38285.0,3,RENT,14700.0,DEBTCONSOLIDATION,12.29,0.38,4.0,515.0,No,
2945,22.0,female,Bachelor,20983.0,0,RENT,3050.0,EDUCATION,9.91,0.15,3.0,612.0,No,1.0
9562,23.0,male,Master,36755.0,1,RENT,8125.0,EDUCATION,12.68,0.22,3.0,,Yes,
21001,27.0,female,Bachelor,55338.0,9,MORTGAGE,5000.0,MEDICAL,6.03,0.09,9.0,669.0,Yes,0.0
4358,22.0,female,Master,49048.0,0,MORTGAGE,7000.0,DEBTCONSOLIDATION,9.32,0.14,3.0,532.0,Yes,0.0
32381,73.0,female,Bachelor,51415.0,47,MORTGAGE,5000.0,PERSONAL,7.49,0.1,28.0,,No,0.0
6082,25.0,male,Master,58756.0,4,MORTGAGE,4800.0,DEBTCONSOLIDATION,10.74,0.08,4.0,612.0,Yes,0.0
1544,22.0,female,Bachelor,122176.0,0,RENT,1475.0,EDUCATION,5.79,0.01,3.0,699.0,No,0.0
2558,21.0,female,Bachelor,36725.0,1,RENT,3000.0,EDUCATION,11.89,0.08,4.0,662.0,Yes,0.0
3703,24.0,male,High School,23957.0,3,RENT,4000.0,MEDICAL,14.35,0.17,4.0,647.0,No,1.0
42048,27.0,male,Master,105271.0,1,RENT,20000.0,DEBTCONSOLIDATION,8.36,0.19,7.0,631.0,Yes,0.0
33045,24.0,male,Bachelor,55250.0,1,RENT,9044.0,EDUCATION,7.25,0.16,4.0,469.0,Yes,0.0
11786,25.0,male,Bachelor,92187.0,4,MORTGAGE,22400.0,HOMEIMPROVEMENT,9.99,0.24,4.0,680.0,Yes,0.0
39105,25.0,female,Associate,34572.0,0,RENT,3221.0,DEBTCONSOLIDATION,11.38,0.09,5.0,631.0,Yes,0.0
24613,33.0,male,Associate,91273.0,9,MORTGAGE,25000.0,MEDICAL,10.65,0.27,7.0,600.0,Yes,0.0
31750,36.0,female,High School,76406.0,12,RENT,15000.0,EDUCATION,11.71,0.2,13.0,,No,1.0
5724,23.0,male,Bachelor,56415.0,0,MORTGAGE,10000.0,MEDICAL,10.36,0.18,3.0,607.0,Yes,0.0
14017,,male,Master,85263.0,0,RENT,14000.0,PERSONAL,6.99,0.16,3.0,637.0,Yes,0.0
35027,39.0,male,Bachelor,91327.0,18,MORTGAGE,7500.0,PERSONAL,12.06,0.08,15.0,646.0,Yes,0.0
10947,26.0,male,High School,85025.0,5,MORTGAGE,12000.0,HOMEIMPROVEMENT,11.26,0.14,4.0,667.0,Yes,0.0
19409,27.0,female,Doctorate,40358.0,4,MORTGAGE,12000.0,VENTURE,7.51,0.3,7.0,680.0,No,0.0
24637,29.0,female,Master,91273.0,8,MORTGAGE,,PERSONAL,11.99,0.09,5.0,590.0,Yes,0.0
18278,34.0,female,Associate,84792.0,10,RENT,22650.0,VENTURE,11.01,0.27,6.0,679.0,No,1.0
33504,23.0,female,High School,72964.0,1,RENT,17000.0,PERSONAL,10.66,0.23,3.0,622.0,Yes,0.0
18300,35.0,male,Bachelor,49179.0,13,RENT,21000.0,VENTURE,19.41,0.43,10.0,671.0,No,1.0
12652,22.0,male,,101492.0,0,MORTGAGE,8000.0,EDUCATION,7.88,0.08,4.0,594.0,Yes,0.0
40919,,male,Bachelor,99300.0,5,RENT,4000.0,DEBTCONSOLIDATION,8.73,0.04,10.0,621.0,Yes,0.0
18689,27.0,male,Associate,54588.0,2,RENT,16425.0,MEDICAL,14.27,0.3,5.0,698.0,No,1.0
19367,32.0,female,Associate,22514.0,10,RENT,3000.0,DEBTCONSOLIDATION,6.03,0.13,7.0,674.0,No,1.0
29365,45.0,female,High School,59340.0,26,RENT,18000.0,MEDICAL,13.85,0.3,15.0,568.0,No,1.0
862,22.0,male,Associate,27969.0,0,MORTGAGE,4800.0,DEBTCONSOLIDATION,10.0,0.17,4.0,644.0,Yes,0.0
12367,23.0,male,Master,49063.0,0,RENT,12000.0,PERSONAL,9.63,0.24,2.0,558.0,Yes,0.0
33350,30.0,male,Bachelor,73019.0,5,MORTGAGE,5091.0,EDUCATION,8.86,0.07,8.0,640.0,Yes,0.0
40635,26.0,,High School,56698.0,6,RENT,12000.0,MEDICAL,11.97,0.21,6.0,643.0,Yes,0.0
41516,30.0,male,Bachelor,78855.0,8,RENT,16000.0,PERSONAL,12.56,0.2,8.0,674.0,No,0.0
36526,36.0,male,Associate,73271.0,14,MORTGAGE,6811.0,VENTURE,15.25,0.09,12.0,677.0,Yes,0.0
35965,40.0,female,Associate,45690.0,16,RENT,10750.0,EDUCATION,15.76,0.24,9.0,612.0,Yes,0.0
17829,23.0,male,Master,142185.0,2,MORTGAGE,,MEDICAL,6.03,0.11,4.0,577.0,Yes,0.0
13342,24.0,male,Bachelor,105265.0,2,RENT,2800.0,DEBTCONSOLIDATION,14.65,0.03,4.0,624.0,Yes,0.0
39142,39.0,female,Doctorate,72918.0,19,RENT,5000.0,EDUCATION,14.3,0.07,11.0,670.0,No,0.0
692,25.0,male,Master,26133.0,4,OWN,5375.0,VENTURE,13.49,0.21,2.0,650.0,Yes,0.0
13213,,female,Bachelor,108908.0,0,MORTGAGE,20000.0,VENTURE,7.9,0.18,3.0,578.0,Yes,0.0
11591,24.0,male,High School,91127.0,2,MORTGAGE,12000.0,DEBTCONSOLIDATION,12.61,0.13,4.0,687.0,Yes,0.0
37068,23.0,male,High School,35274.0,0,MORTGAGE,10514.0,DEBTCONSOLIDATION,11.99,0.3,2.0,629.0,Yes,0.0
27417,,male,Associate,169060.0,6,MORTGAGE,18000.0,PERSONAL,7.9,0.11,9.0,648.0,No,0.0
41921,26.0,male,Bachelor,60758.0,1,OWN,3000.0,EDUCATION,7.69,0.05,4.0,565.0,Yes,0.0
26254,27.0,female,,120932.0,1,MORTGAGE,3000.0,VENTURE,12.84,0.02,10.0,695.0,Yes,0.0
19415,29.0,female,Bachelor,45790.0,8,RENT,3000.0,MEDICAL,5.42,0.07,8.0,612.0,No,0.0
15022,24.0,male,Associate,28930.0,1,RENT,1600.0,EDUCATION,7.68,0.06,2.0,,Yes,0.0
19391,27.0,female,Associate,38276.0,2,RENT,3000.0,PERSONAL,10.99,0.08,6.0,681.0,No,0.0
18442,33.0,female,Bachelor,115669.0,15,RENT,20000.0,VENTURE,7.88,0.17,10.0,555.0,No,0.0
121,25.0,female,Associate,51747.0,3,RENT,25000.0,EDUCATION,16.35,0.48,3.0,697.0,No,1.0
24038,31.0,male,Bachelor,43922.0,10,RENT,10000.0,PERSONAL,10.65,0.23,5.0,599.0,No,0.0
12804,26.0,male,High School,50111.0,4,RENT,3000.0,DEBTCONSOLIDATION,12.42,0.06,3.0,540.0,Yes,0.0
408,22.0,female,Associate,22107.0,4,MORTGAGE,2250.0,EDUCATION,15.27,0.1,3.0,636.0,Yes,0.0
21939,27.0,female,Bachelor,61570.0,6,MORTGAGE,5000.0,EDUCATION,7.51,0.08,5.0,,Yes,0.0
27609,27.0,male,Associate,180958.0,7,MORTGAGE,8000.0,VENTURE,12.21,0.04,5.0,622.0,Yes,0.0
19120,31.0,male,High School,15847.0,10,RENT,2400.0,PERSONAL,11.01,0.15,10.0,642.0,No,1.0
11364,24.0,male,Master,72377.0,5,RENT,10000.0,HOMEIMPROVEMENT,5.99,0.14,3.0,657.0,Yes,
20077,31.0,male,Bachelor,21302.0,9,RENT,4000.0,MEDICAL,14.59,0.19,9.0,670.0,No,1.0
13383,26.0,female,Master,108784.0,3,OWN,9500.0,VENTURE,8.07,0.09,2.0,559.0,Yes,0.0
19556,33.0,female,Associate,60066.0,9,RENT,3000.0,HOMEIMPROVEMENT,16.49,0.05,7.0,657.0,No,1.0
34188,26.0,female,Associate,41472.0,3,OWN,8000.0,PERSONAL,9.43,0.19,7.0,631.0,Yes,0.0
39677,24.0,male,Bachelor,67827.0,0,MORTGAGE,8000.0,MEDICAL,9.92,0.12,3.0,685.0,No,0.0
41570,28.0,female,Bachelor,56197.0,2,MORTGAGE,15000.0,VENTURE,9.48,0.27,5.0,,No,0.0
36552,25.0,female,,43298.0,6,RENT,3500.0,EDUCATION,7.43,0.08,4.0,660.0,No,
43382,25.0,female,Bachelor,44565.0,0,RENT,15000.0,PERSONAL,7.32,0.34,3.0,638.0,No,1.0
