,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
17928,34.0,female,Bachelor,15432.0,11,OWN,3250.0,HOMEIMPROVEMENT,10.99,0.21,5.0,715.0,No,1.0
17365,24.0,male,Bachelor,68316.0,3,MORTGAGE,12000.0,EDUCATION,11.01,0.18,2.0,628.0,Yes,0.0
21406,29.0,female,Associate,84753.0,5,RENT,5600.0,HOMEIMPROVEMENT,11.99,0.07,6.0,618.0,Yes,0.0
27129,27.0,female,High School,24821.0,6,RENT,1500.0,VENTURE,12.69,0.06,9.0,683.0,Yes,0.0
4667,25.0,female,High School,44311.0,3,RENT,9800.0,EDUCATION,10.36,0.22,4.0,641.0,Yes,0.0
7574,25.0,female,Master,65852.0,4,MORTGAGE,7000.0,VENTURE,18.64,0.11,3.0,688.0,No,0.0
1687,23.0,male,High School,28170.0,0,RENT,1750.0,PERSONAL,15.7,0.06,2.0,544.0,No,1.0
18628,35.0,female,Associate,60939.0,14,RENT,17500.0,PERSONAL,12.84,0.29,5.0,700.0,No,1.0
37109,27.0,male,Associate,130701.0,4,MORTGAGE,10000.0,VENTURE,10.06,0.08,5.0,543.0,Yes,0.0
10650,22.0,male,Associate,37448.0,0,RENT,10000.0,VENTURE,12.8,0.27,2.0,,No,1.0
18605,31.0,female,High School,29760.0,10,OWN,1200.0,HOMEIMPROVEMENT,8.94,0.04,5.0,670.0,Yes,0.0
40628,25.0,female,High School,49209.0,4,RENT,2000.0,PERSONAL,10.93,0.04,4.0,587.0,Yes,0.0
29751,40.0,female,Associate,141759.0,17,RENT,10625.0,HOMEIMPROVEMENT,11.14,0.07,13.0,638.0,Yes,0.0
31124,38.0,female,Associate,93561.0,16,OWN,3000.0,VENTURE,8.59,0.03,15.0,627.0,Yes,0.0
39309,32.0,male,Associate,89642.0,8,MORTGAGE,5000.0,MEDICAL,10.65,0.06,10.0,,Yes,0.0
38551,26.0,male,Bachelor,144904.0,4,MORTGAGE,8444.0,MEDICAL,6.4,0.06,6.0,575.0,Yes,0.0
39905,25.0,male,Associate,120999.0,3,MORTGAGE,7500.0,DEBTCONSOLIDATION,13.18,0.06,4.0,539.0,Yes,0.0
38620,29.0,female,Associate,77904.0,6,MORTGAGE,8000.0,HOMEIMPROVEMENT,14.65,0.1,5.0,644.0,No,0.0
17076,,male,Associate,82708.0,2,MORTGAGE,13000.0,VENTURE,7.88,0.16,4.0,,Yes,0.0
40768,29.0,,High School,77875.0,4,MORTGAGE,7039.0,MEDICAL,7.47,0.09,7.0,643.0,No,0.0
35140,23.0,male,,40547.0,2,RENT,9000.0,MEDICAL,10.46,0.22,3.0,646.0,No,0.0
42201,28.0,female,Bachelor,44220.0,3,RENT,16000.0,PERSONAL,15.66,0.36,10.0,662.0,No,1.0
30047,42.0,female,High School,82693.0,17,RENT,8500.0,MEDICAL,10.37,0.1,12.0,546.0,Yes,0.0
6544,24.0,male,Associate,57387.0,3,RENT,,PERSONAL,7.66,0.1,2.0,637.0,Yes,0.0
27731,32.0,male,Bachelor,197626.0,8,MORTGAGE,2400.0,DEBTCONSOLIDATION,14.42,0.01,10.0,600.0,No,1.0
25934,28.0,male,Bachelor,70557.0,5,RENT,12500.0,EDUCATION,11.71,0.18,7.0,,Yes,0.0
16407,26.0,male,Master,132973.0,3,MORTGAGE,5000.0,EDUCATION,12.69,0.04,3.0,550.0,Yes,0.0
20924,33.0,female,High School,106022.0,12,RENT,9000.0,MEDICAL,14.65,0.08,7.0,536.0,No,1.0
26209,30.0,male,Associate,118628.0,5,MORTGAGE,3500.0,VENTURE,7.68,0.03,10.0,681.0,Yes,0.0
20980,35.0,,Doctorate,61460.0,15,RENT,5000.0,VENTURE,13.57,0.08,8.0,656.0,Yes,0.0
31852,,female,High School,197813.0,16,MORTGAGE,35000.0,VENTURE,13.99,0.18,14.0,647.0,Yes,0.0
32687,,male,High School,52508.0,10,RENT,9000.0,PERSONAL,11.5,0.17,5.0,584.0,Yes,0.0
21772,30.0,male,Master,60856.0,9,OWN,5000.0,EDUCATION,7.14,0.08,7.0,673.0,Yes,0.0
44235,22.0,female,Bachelor,70096.0,0,RENT,16000.0,HOMEIMPROVEMENT,17.15,0.23,3.0,554.0,No,1.0
34720,24.0,male,Bachelor,109209.0,0,MORTGAGE,,PERSONAL,12.78,0.03,4.0,617.0,Yes,0.0
9287,22.0,male,Master,32340.0,0,RENT,5000.0,PERSONAL,11.99,0.15,2.0,694.0,Yes,0.0
27966,33.0,male,Associate,43749.0,11,RENT,6000.0,MEDICAL,13.49,0.14,6.0,604.0,No,1.0
44966,26.0,female,Bachelor,36844.0,0,RENT,16000.0,DEBTCONSOLIDATION,12.0,0.43,5.0,620.0,No,1.0
32366,58.0,female,Associate,24991.0,31,RENT,4000.0,EDUCATION,9.99,0.16,30.0,650.0,Yes,0.0
30930,39.0,male,Associate,84850.0,17,OWN,8000.0,VENTURE,11.01,0.09,12.0,688.0,No,0.0
33971,31.0,male,,156893.0,11,MORTGAGE,5000.0,PERSONAL,15.59,0.03,6.0,613.0,Yes,0.0
27113,31.0,male,Associate,114410.0,8,MORTGAGE,15000.0,MEDICAL,15.37,0.13,8.0,684.0,No,
26680,32.0,male,Associate,132749.0,12,MORTGAGE,5600.0,VENTURE,10.74,0.04,7.0,576.0,Yes,0.0
32297,144.0,female,Associate,7200766.0,124,MORTGAGE,5000.0,PERSONAL,12.73,0.0,25.0,850.0,No,0.0
40120,24.0,male,Master,49115.0,1,MORTGAGE,6000.0,MEDICAL,11.01,0.12,3.0,573.0,Yes,0.0
309,25.0,male,,192351.0,1,RENT,30000.0,PERSONAL,17.27,0.16,4.0,577.0,No,1.0
26283,34.0,female,Associate,91076.0,11,RENT,14000.0,DEBTCONSOLIDATION,12.69,0.15,7.0,669.0,Yes,0.0
11716,21.0,female,Associate,94537.0,1,RENT,10000.0,VENTURE,5.99,0.11,2.0,622.0,Yes,0.0
23621,,female,Master,78902.0,9,MORTGAGE,3000.0,PERSONAL,16.77,0.04,7.0,579.0,Yes,0.0
5671,22.0,male,Associate,56103.0,0,MORTGAGE,10375.0,MEDICAL,11.01,0.18,4.0,662.0,Yes,
12810,,female,Bachelor,50131.0,3,RENT,3000.0,DEBTCONSOLIDATION,11.03,0.06,4.0,678.0,Yes,0.0
4042,24.0,female,Associate,79190.0,1,RENT,4000.0,MEDICAL,5.42,0.05,2.0,,Yes,0.0
5690,23.0,female,Bachelor,56062.0,1,OWN,10000.0,EDUCATION,13.16,0.18,3.0,692.0,Yes,0.0
7381,22.0,female,High School,64513.0,0,MORTGAGE,7000.0,PERSONAL,6.76,0.11,2.0,607.0,Yes,0.0
33255,23.0,male,High School,35020.0,1,RENT,5500.0,MEDICAL,12.53,0.16,2.0,543.0,Yes,0.0
22506,30.0,female,,50320.0,6,RENT,7200.0,PERSONAL,7.49,0.14,5.0,589.0,Yes,0.0
26633,29.0,female,Bachelor,131655.0,3,MORTGAGE,22000.0,VENTURE,11.01,0.17,5.0,648.0,Yes,0.0
41090,29.0,male,,58386.0,7,RENT,4200.0,MEDICAL,11.56,0.07,4.0,731.0,No,0.0
21351,28.0,male,Bachelor,127109.0,9,RENT,5500.0,DEBTCONSOLIDATION,15.23,0.04,7.0,664.0,Yes,0.0
7617,26.0,male,High School,65809.0,5,MORTGAGE,7200.0,HOMEIMPROVEMENT,5.42,0.11,2.0,609.0,Yes,0.0
4930,23.0,male,High School,49237.0,5,RENT,5000.0,MEDICAL,11.01,0.1,3.0,690.0,Yes,0.0
27955,31.0,male,Bachelor,82663.0,8,RENT,6000.0,PERSONAL,7.49,0.07,6.0,655.0,Yes,0.0
15044,25.0,female,Bachelor,31124.0,1,OWN,17500.0,MEDICAL,14.22,0.56,2.0,606.0,Yes,0.0
11859,23.0,male,Associate,111357.0,0,RENT,10000.0,VENTURE,11.71,0.09,4.0,668.0,Yes,0.0
37092,28.0,male,Associate,72873.0,5,MORTGAGE,6000.0,PERSONAL,11.0,0.08,9.0,562.0,Yes,0.0
36204,25.0,female,High School,35631.0,2,RENT,1552.0,PERSONAL,7.16,0.04,3.0,532.0,No,0.0
35297,26.0,male,Master,135583.0,5,MORTGAGE,3302.0,DEBTCONSOLIDATION,8.57,0.02,7.0,556.0,No,0.0
41462,28.0,female,Associate,125037.0,6,MORTGAGE,8948.0,PERSONAL,9.2,0.07,7.0,602.0,Yes,0.0
43040,26.0,,High School,57335.0,7,RENT,7891.0,MEDICAL,13.38,0.14,5.0,606.0,No,1.0
4261,24.0,female,Associate,67018.0,1,RENT,4500.0,DEBTCONSOLIDATION,7.9,0.07,2.0,649.0,Yes,0.0
15286,24.0,female,High School,73021.0,3,RENT,15000.0,HOMEIMPROVEMENT,13.99,0.21,4.0,512.0,Yes,0.0
39481,26.0,male,High School,98598.0,1,RENT,8371.0,PERSONAL,9.57,0.08,6.0,656.0,Yes,0.0
32819,22.0,female,Bachelor,232344.0,0,MORTGAGE,20000.0,MEDICAL,7.31,0.09,4.0,646.0,Yes,0.0
22189,32.0,male,Master,35165.0,8,RENT,6700.0,VENTURE,10.37,0.19,9.0,674.0,No,0.0
23211,31.0,male,Bachelor,24800.0,9,RENT,5000.0,MEDICAL,13.8,0.2,5.0,625.0,No,0.0
12797,23.0,female,Bachelor,102792.0,0,MORTGAGE,4000.0,EDUCATION,5.79,0.04,3.0,630.0,No,0.0
16506,21.0,female,High School,63706.0,1,RENT,1500.0,PERSONAL,11.99,0.02,2.0,644.0,Yes,0.0
16798,22.0,,High School,93314.0,0,MORTGAGE,21000.0,EDUCATION,11.48,0.23,3.0,503.0,Yes,0.0
31142,45.0,female,Master,82431.0,23,RENT,11200.0,PERSONAL,11.01,0.14,17.0,676.0,No,0.0
23685,29.0,male,Associate,78526.0,2,MORTGAGE,7000.0,DEBTCONSOLIDATION,7.29,0.09,6.0,702.0,Yes,0.0
17966,27.0,female,Bachelor,271262.0,7,MORTGAGE,14000.0,VENTURE,11.01,0.05,7.0,565.0,Yes,0.0
38027,22.0,male,Associate,53799.0,0,MORTGAGE,7380.0,MEDICAL,7.91,0.14,3.0,594.0,Yes,0.0
31345,50.0,female,High School,144907.0,28,RENT,12000.0,MEDICAL,9.62,0.08,12.0,653.0,Yes,0.0
24379,32.0,female,Associate,80462.0,10,MORTGAGE,2000.0,DEBTCONSOLIDATION,15.28,0.02,7.0,617.0,No,1.0
35428,27.0,,Bachelor,128955.0,6,RENT,6000.0,EDUCATION,13.88,0.05,5.0,670.0,Yes,0.0
5561,,male,Master,84603.0,3,RENT,5000.0,PERSONAL,11.01,0.06,3.0,,No,0.0
717,22.0,male,High School,80179.0,0,RENT,20000.0,DEBTCONSOLIDATION,14.42,0.25,2.0,655.0,No,1.0
8414,24.0,male,Master,96728.0,3,RENT,7500.0,DEBTCONSOLIDATION,10.71,0.08,4.0,662.0,Yes,0.0
7926,22.0,male,High School,67175.0,0,MORTGAGE,12000.0,EDUCATION,9.63,0.18,4.0,569.0,Yes,0.0
41301,23.0,male,Bachelor,31215.0,0,MORTGAGE,,PERSONAL,13.92,0.22,4.0,503.0,Yes,0.0
41093,37.0,male,Associate,63378.0,17,MORTGAGE,6470.0,PERSONAL,10.05,0.1,12.0,712.0,No,0.0
39667,28.0,female,Master,102836.0,4,RENT,10000.0,EDUCATION,14.37,0.1,8.0,690.0,No,0.0
34465,23.0,male,Associate,60939.0,0,RENT,10000.0,EDUCATION,11.48,0.16,3.0,658.0,Yes,0.0
6407,25.0,male,Bachelor,60736.0,2,MORTGAGE,10000.0,MEDICAL,11.66,0.16,4.0,654.0,Yes,0.0
5669,26.0,male,Bachelor,56126.0,4,MORTGAGE,11500.0,PERSONAL,13.79,0.2,4.0,683.0,No,0.0
40422,37.0,female,High School,47855.0,9,RENT,10000.0,VENTURE,9.96,0.21,6.0,637.0,Yes,0.0
36082,29.0,,High School,87516.0,9,MORTGAGE,24065.0,DEBTCONSOLIDATION,8.09,0.27,9.0,576.0,Yes,0.0
32524,51.0,male,Associate,144986.0,27,MORTGAGE,30000.0,PERSONAL,7.9,0.21,22.0,640.0,Yes,0.0
11959,25.0,male,Bachelor,95090.0,3,MORTGAGE,8000.0,EDUCATION,5.79,0.08,2.0,640.0,No,0.0
17535,23.0,female,Associate,48815.0,3,RENT,10000.0,VENTURE,10.36,0.2,3.0,602.0,Yes,0.0
27898,27.0,male,Associate,180868.0,3,MORTGAGE,18000.0,HOMEIMPROVEMENT,11.01,0.1,7.0,653.0,No,0.0
20258,27.0,male,Associate,67235.0,6,RENT,4000.0,EDUCATION,6.76,0.06,10.0,591.0,Yes,0.0
24907,31.0,female,Associate,94676.0,8,MORTGAGE,5000.0,HOMEIMPROVEMENT,5.79,0.05,10.0,641.0,Yes,0.0
10800,23.0,male,High School,84933.0,1,OWN,3600.0,EDUCATION,10.59,0.04,4.0,602.0,Yes,0.0
37290,24.0,male,High School,55170.0,1,MORTGAGE,4058.0,DEBTCONSOLIDATION,5.99,0.07,3.0,640.0,No,0.0
22541,30.0,male,Bachelor,67514.0,5,MORTGAGE,1000.0,DEBTCONSOLIDATION,11.01,0.01,9.0,664.0,Yes,0.0
22912,32.0,male,High School,37132.0,10,RENT,8000.0,VENTURE,7.74,0.22,9.0,666.0,No,0.0
5403,23.0,male,Master,54851.0,0,MORTGAGE,,EDUCATION,11.11,0.18,3.0,574.0,Yes,0.0
36611,27.0,female,Bachelor,92395.0,5,MORTGAGE,13488.0,VENTURE,9.47,0.15,6.0,553.0,Yes,0.0
28850,28.0,female,High School,75549.0,6,RENT,13400.0,DEBTCONSOLIDATION,13.06,0.18,6.0,526.0,Yes,0.0
28161,29.0,female,Associate,39704.0,8,RENT,10800.0,MEDICAL,13.57,0.27,5.0,607.0,No,1.0
43530,24.0,male,Bachelor,68023.0,2,RENT,21528.0,MEDICAL,20.0,0.32,4.0,553.0,No,1.0
40630,34.0,male,Bachelor,56114.0,13,RENT,,MEDICAL,7.63,0.18,10.0,665.0,No,0.0
5270,23.0,female,Master,54848.0,2,MORTGAGE,14550.0,VENTURE,11.71,0.27,4.0,636.0,Yes,0.0
15641,24.0,female,Associate,109169.0,0,RENT,15000.0,DEBTCONSOLIDATION,7.9,0.14,2.0,620.0,No,0.0
20805,28.0,male,High School,52644.0,5,MORTGAGE,12000.0,HOMEIMPROVEMENT,13.48,0.23,6.0,535.0,No,0.0
35806,,male,Bachelor,122260.0,8,MORTGAGE,5000.0,HOMEIMPROVEMENT,8.47,0.04,5.0,608.0,No,0.0
13784,,male,Master,40642.0,2,OWN,8000.0,VENTURE,14.26,0.2,3.0,,Yes,0.0
9596,22.0,female,Master,69272.0,0,MORTGAGE,10000.0,VENTURE,14.59,0.14,2.0,591.0,No,1.0
42552,49.0,female,High School,61092.0,26,RENT,18000.0,PERSONAL,14.5,0.29,22.0,619.0,No,1.0
35664,25.0,female,Associate,72688.0,3,MORTGAGE,18500.0,EDUCATION,13.8,0.25,2.0,,Yes,0.0
43949,22.0,male,Associate,35829.0,0,RENT,12000.0,MEDICAL,6.66,0.33,4.0,489.0,No,1.0
35656,23.0,female,High School,97084.0,0,RENT,,EDUCATION,12.09,0.12,5.0,632.0,Yes,0.0
44255,,,Bachelor,83561.0,2,RENT,6000.0,DEBTCONSOLIDATION,15.37,0.07,7.0,639.0,No,1.0
33003,24.0,female,Associate,37218.0,3,RENT,6000.0,EDUCATION,11.62,0.16,2.0,694.0,No,0.0
32883,40.0,female,Associate,61114.0,17,RENT,7000.0,DEBTCONSOLIDATION,12.54,0.11,12.0,696.0,No,0.0
33194,32.0,male,Bachelor,81420.0,7,MORTGAGE,3000.0,DEBTCONSOLIDATION,7.27,0.04,10.0,506.0,Yes,0.0
39089,,male,Associate,53727.0,0,RENT,3000.0,MEDICAL,10.54,0.06,3.0,625.0,Yes,0.0
3440,24.0,male,High School,53279.0,1,RENT,10800.0,VENTURE,5.42,0.2,2.0,631.0,Yes,0.0
7623,24.0,female,Bachelor,97131.0,3,RENT,6400.0,MEDICAL,7.49,0.07,4.0,650.0,Yes,0.0
26985,28.0,male,High School,60970.0,6,RENT,15000.0,EDUCATION,10.28,0.25,5.0,613.0,Yes,0.0
40003,24.0,male,Associate,48777.0,0,RENT,2000.0,PERSONAL,11.01,0.04,4.0,607.0,Yes,0.0
35577,26.0,male,High School,101641.0,0,RENT,4683.0,HOMEIMPROVEMENT,11.23,0.05,3.0,630.0,Yes,0.0
35993,24.0,male,Bachelor,118802.0,4,MORTGAGE,25000.0,VENTURE,11.66,0.21,3.0,622.0,No,0.0
38448,24.0,female,Associate,51376.0,0,RENT,3507.0,PERSONAL,11.25,0.07,4.0,615.0,Yes,0.0
30090,38.0,male,High School,109060.0,12,RENT,5000.0,MEDICAL,8.49,0.05,15.0,660.0,Yes,0.0
11376,26.0,female,Bachelor,73033.0,3,RENT,10000.0,DEBTCONSOLIDATION,14.27,0.14,4.0,593.0,Yes,0.0
39850,27.0,male,Associate,116184.0,3,MORTGAGE,25000.0,EDUCATION,11.15,0.22,6.0,605.0,Yes,0.0
25688,28.0,female,Bachelor,109179.0,6,MORTGAGE,1800.0,HOMEIMPROVEMENT,7.51,0.02,5.0,684.0,No,0.0
20599,29.0,male,Master,157102.0,7,RENT,10000.0,EDUCATION,14.26,0.06,5.0,660.0,No,0.0
27435,32.0,male,Associate,169171.0,10,MORTGAGE,12000.0,HOMEIMPROVEMENT,11.01,0.07,8.0,519.0,No,0.0
