message,emotion
i have kept the fire burning for a long time and he is finally stoking it but when he does things feel more dangerous too,anger
i feel kind of greedy,anger
i ever feel like i was losing him or that i wasnt loved,love
i am experiencing this strangely amazing thing i am thinking a negative aspect in my mind or i am feeling dishearted or low somehow words strangthening words show up somehow they do,sadness
i know a piece is done when i feel overwhelmed by its presence and i m teetering on adding too much this and that,surprise
i feel that i need to do something that involves caring for someone,love
im feeling abit grouchy with kim,anger
i feel completely helpless right now,sadness
i feel like a supporting character in his life,love
i will go on my own and don t feel like listening to anybody and then those tender love stories of having crush on somebody or secretly following someone or wishing for some miracles to happen without having much guts to face any of it,love
i have stewed and thought about the sad emptiness of the characters and their lives i find myself feeling taken aback and simply devastated,sadness
i want to make you feel amazing,surprise
i feel when i have to eat alone,sadness
i feel like i must come to brads defense here he would never say that he hated kids and talking to emily,anger
i feel as gentle and fragile as a bud sometimes knowing how quickly the years pass and i feel as full of promise as a bud other times,love
i was feeling offended yesterday due to some happenings,anger
i feel its divine vibration in and through me above and below me,joy
im feeling a little overwhelmed right now but i have lined up some wonderful women bloggers shop owners to take over for me this week,surprise
im feeling lucky name btni class gbqfba onclick if this,joy
i get the feeling that theyll all gel together anyway because im too impatient to wait on change,anger
i no longer feel sympathetic over some peoples problems emotions,love
i feel overwhelmed by the raw beauty of it all and overwhelmed by the mass amount of poverty and problems,surprise
i feel haapy at another i feel eager then frustrated at last i feel scared,joy
i get on to check the news i feel infuriated,anger
i was sat on his sofa feeling rather hot took an antisickness tablet as i suddenly felt very ill and curled up,love
i pushed through my days with some expectations put on myself then was frustrated when the day ended and i was left feeling dissatisfied,anger
i have been to gay friendly churches that when they have learned who i was have made me feel very unwelcome,sadness
im just ready to feel something other than happily repressed,sadness
i also hate the feeling of forcing my values onto others not celebrating not buying others gifts for the sake of not supporting consumerism,love
i feel like predicting the super bowl,joy
im feeling completely un festive this season,joy
i also feel kinda weird about,surprise
i feel like that totally shocked him,surprise
im feeling appalled ashamed shocked and frankly just pissed off,anger
i was able to articulate that better today and put my feelings into words to a couple of the lovely nurses that were serving noa,love
i also feel a gentle anger both at what is for taking that most gentle soul red from me and taking him away into the dissolution of the void,love
i feel so dissatisfied as to the amount we still need to achieve,anger
i do want to address a few things here clarify if you will as i feel i need to fill in the blank on a few topics,sadness
i feel less shaky when i have the diet pill,fear
i feel to some extent like damaged goods,sadness
i feel about going out to bars and dealing with strange men,surprise
i can feel that cool transition when kids connect and take it on as their own but i never knew what to call it,joy
i think the best way to get it out would be to talk or write about it but some of it feels really petty and i feel like im not allowed to feel misstreated or hurt by certain things,anger
i look my body system in a very mirror i feel very pleased with is very important,joy
i feel very blessed to be able to do this every day,love
i feel that they are learning some valuable things,joy
i see pictures of them shopping i feel that they re kind of greedy but i also have this unexplained feeling that they re alone or that they re being chased by the tabloids to get that one special hurried picture of them in a mall,anger
im tired of watching people come and go and im tired of feeling numb and comfortable and hopeless,sadness
i remember sitting there glued to the television after getting back home from college and feeling amazed by the way something as simple as a sea dwelling mammal would draw together so many people on the banks of the thames,surprise
i feel like i can do little more than froth in ecstatic agreement,joy
i believe a majority of the members of parliament feel as dismayed as i am about the challenge posed by youth binge drinking and the effects of alcohol,sadness
i found myself encouraging my seven year old daughter to memorize her favorite hymn or primary song to lift her thoughts when she was feeling frightened,fear
im in the christmas spirit and feeling generous,love
i am thankful for the lightness creeping back for surviving periods of depression for that returning feeling that i will be ok at some point in the future,joy
i started feeling awfully melancholy,sadness
i feel weird that i getting slowly better nowadays and i started notice something where i never been thought of it,surprise
i began to feel amazing again,surprise
i was feeling pretty much all my very strong contractions at this point,joy
i want to fight to swear to yell to cry when i feel wronged by another or judged by the outward appearances of the world,anger
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger
i feel tortured everyday with sarcasm getting thrown at me getting tackled by hatred,anger
i do this if i allow myself to sit in this cycle today i will cause a nasty big blow up fight in public and i will feel humiliated and proven right that i am an unstable bad person,sadness
i have a feeling it will be a very lovely bath time,love
i feel angry at the way the lives of those who men like this used have been altered forever,anger
i feel inadequate to be in your company,sadness
i didnt build up my savings as id planned though i did feel triumphant time and again as minor emergencies arose because i found myself able to pay for them with cash new tires new brakes new car battery the lubrication of my sway bar bushings thats what she said while continuing to pay down debt,joy
i feel this funny ache in my chest every spring when the anniversary of that day draws near,surprise
i was pretty confident that he was either making or purchasing some sort of id that i could wear while in the backcountry but i was honestly feeling skeptical as to whether i would actually wear it or not,fear
i do feel reassured that at least she knows who she couldn t live without,joy
i know you re feeling shocked too,surprise
i have had a lot of uncaring men in my life and it still feels strange to have several that call come by and reach out to me when i am at my weakest moments,surprise
im not the only one who is feeling festive,joy
i feel like a talking dog everybody is so amazed you speak they barely can remember what you say,surprise
i offer of help was extended on presumably to provide peace of mind to moderate arab nations who may feel threatened by the lightning land grabbing offensive unleashed by islamic militants in iraq,fear
i feel guilty for not thinking about my grandma the last few days,sadness
im not sure if they sued for the right reasons it seems to me although they talked about feeling very abused that maybe they were still people that were pushed around in this case maybe by the media or legal system telling them to sue for economic reasons but not trying to help them,sadness
i feel like every petty emotion or immature reaction i ve had every time i ve acted poorly or selfishly every thoughtless or deliberately hurtful comment i ve said to someone all these things are being washed away,anger
i can tell right away and the way that i describe it is that i feel shaky and clammy and sometimes light headed,fear
im so pleased to have my fussy cutting featured in their love life pages as these are always the pages i turn to first so it feels incredibly lovely to have my own work in there,love
i saw a quote the other day still love those p that said feelings that return are feelings that never went away so maybe ive liked him for years,love
i wonder if its because we feel the truth in our heart but are afraid to confirm it by finding evidence to support the truth over and above our own instincts,fear
im feeling lauras joy at reuniting with her beloved rich,love
i feel shocked to my core,surprise
ive been worrying about whos happy when where how i can make the situation lighter for whomever is feeling distressed etc,fear
i feel mad amongst swarms of humans looking for something to do,anger
i could think was man if i ever get a book deal i really wont feel envious again,anger
i feel lame just getting them clothes,sadness
i feel so eager to do things the way he wants and likes,joy
i racist to feel alarmed by the th,fear
i have never sampled their wares just admired their storefront which i feel is really cool,joy
i didn t feel the plot in a tree grows in brooklyn surprised me,surprise
i suppose i feel sort of virtuous,joy
i feel cranky today,anger
i feel like i have come in just under the deadline to be assured a very happy and contented middle life,joy
i feel like an irritable python slowly shedding layers of love off of me all the time,anger
i didint feel any love and caring now,love
i feel weird because i dont know the typical group class etiquette,surprise
i did not feel that the hot food was kept as hot as it should be,love
i feel very irritated and annoyed today,anger
i feel uncertain and lead me to a place where i have no doubts,fear
i feel completely blessed to be a part of this group,love
i feel that its time to share some of whats been going on and youre probably curious about what it is,surprise
i guess want that feeling of being respected and looked up to,joy
i feel overwhelmed but super excited about this task,surprise
ive been feeling more than lousy but i have received two packages that,sadness
just before i started my study i had to move,fear
i guess as impressive as it is to have swam laps i feel even more impressed that i have managed to keep track of them given that at any moment i had at least three numbers going in my head the lap number itself the number i was collatz ing and how many moves it had been since i had started,surprise
i feel like my relationship with my beloved mummy is getting closer amp closer,joy
i feel announces the arrival of summer and maybe even a peach daiquiri which i have never tasted but must be delicious,joy
i need to avoid and just feel reluctant to go forward to the finishing line,fear
i just want to go home and sleep instead im stuck here so im feeling very rebellious,anger
i remember feeling frantic over finding that bag,fear
i havent blogged for nearly two weeks and i feel like a naughty schoolgirl which is so silly,love
i feel somewhat depressed at the prospect that i could have been there with her doing these things,sadness
i would really love to jump a plane and travel somewhere far away to walk through an age old city to feel other and curious about all the unknown around to cling to my companion while we muddle through and laugh at ourselves,surprise
i was feeling kind of disheartened by this realization but then i used one of my slotras the world needs better attitudes,sadness
i didnt feel that she was being very truthful and i was totally distracted by her pouting when she didnt like a question,joy
i cant feel to ecstatic because the xabi saga if we want to call it that is weighing it all down,joy
i feel they will all be pleasantly surprised,surprise
i need things to feel bliss about joyful and curious,joy
i feel madly in love with the nhl when i lived in boston the orr esposito bruins were fantastic the rivalries of the original teams the upstart flyers and islanders the summit series were great moments,joy
i walked into work on what seemed like a normal tuesday morning a feeling rushed over me that something wasn t quite right,anger
i told my girls the day they were born i would work my hardest to make sure that no one ever let them feel worthless,sadness
i pray for our guests to feel welcomed and to receive whatever it is they need at that time whether that be a hug a word a prayer or just want to tell someone about their day,joy
i definitely approve of the formula for this lipstick as it goes on very easily and feels lovely on,love
i know some of you don t know each other but i think it ll be great to have such bonding time like this jaejoong smiled tenderly as he continued i know you re afraid to open up because i m feeling afraid too,fear
i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,love
i feel weird whenever this happens a href http www,surprise
i feel so blessed to have such an awesome career where i am able to capture a little piece of his journey,love
im feeling rebellious in the mormon community so were having roast for dinner on thursday and not sunday,anger
i have a couple of pieces of work to focus on both of which i ve been doing bits of over the past two weeks so i don t feel pressured to do them all at once,fear
i feeling rejected about,sadness
i found myself feeling agitated,anger
i ended up feeling a bit strange and started watching him closely when he did that,fear
i was sad when asuna is already back because she slept for over a hundred years if you read this you know how i feel but yeah im still really really curious about whos ended up with negi,surprise
i feel hopeless so often,sadness
i feel funny a href http thwordinc,surprise
i want you to feel the longing in your body,love
i feel like i dont talk to much of anyone anymore which is kind of unfortunate so hopefully ill meet some new friends when the new servers open up and perhaps revitalize some old ones,sadness
i agree that zimmerman should have remained in his car and not followed the boy but tell me did he have a right to feel suspicious,fear
ill probably go at lest once because id feel like i missed out on something if i didnt,sadness
i was feeling really shitty and just like magic inside my inbox i found the following fortune from him you,sadness
i might not be feeling so affectionate a smirk danced on the raven haired man s lips,love
i feel infuriated when i think of what changes i have had to endure in my life due to a stalker i will one day write that story although it is not pleasant,anger
i dig last my nerves i feel so vulnerable,fear
i wanted and survive in this country but things became worse all the men i met both young and old took advantage of me and made me feel worthless,sadness
i feel completely dazed and out of it,surprise
i usually come away with the feeling that while they are impressed and really really want to do this the reality is that mostly it will be the same old same old with the reality being to do more and more but not smarter and smarter,surprise
i was feeling a little cranky and not at all wanting to be in the kitchen,anger
i am generally not a great fan of outsized sculptures on principle in fact most of the time i prefer sculptures of modest dimensions ones that you can get close to without feeling intimidated by them,fear
i told zp how i feel in this relationship and we broke up,sadness
i have been feeling is any indication on this childs personality then i am petrified,fear
salo,anger
i think for the most part im a pretty considerate person at least id like to hope so and because i feel like i am considerate for the most part i am shocked on a daily basis by how inconsiderate people can be even those im around a lot,love
i going to encourage the people i face or tear them down as soon as i feel threatened or hurt,fear
i have to feel a spark of inspiration or be completely enthralled in a novel to write consistently,surprise
i feel relieved and blessed that two years later i still think he s the one,joy
im going to wake up feeling frightened and disoriented,fear
i really enjoyed this meal it was full of flavours that complemented one another was the perfect size for a main meal for me and left me feeling satisfied and not uncomfortable,joy
i feel like i ve become a grumpy old fart here in the past few months,anger
i feel like i should be supporting her,love
i could be great and feeling exhultant gratitude with those wonderful moments but being afraid i might be terrible and then feeling deep depression and remorse when i give in to my weaknesses and shortcomings,joy
i feel more assured that things will eventually work out,joy
saw my class leader acting like a god when he chose people to go to your english lectures,anger
i feel a bit skeptical,fear
im sure its all part of the engineering but it does feel weird,surprise
i feel like i have been so cranky i haven t been living it to the fullest capacity,anger
i really do love myself i just get down so easily sometimes it seems when i feel assaulted from the outside,sadness
i can always trust him and not feel like im being victimized or abused for his fetishes,sadness
i remember feeling curious about how adrian was feeling peering at him closely as he dried me he kept catching my gaze and smiling holding my face in the plush towel and i was indeed filled with a loving pleasure,surprise
i see people who share finances spend all of their time together share intimate thoughts and feelings are affectionate to a number of different levels and profess words of love to each other,love
i want to feel violently torrentially reverentially passionate about something,love
im feeling a ludicrous amount of love for my f list today so if youre reading this wrap your arms around yourself and squeeeeeeze until you cant breathe,surprise
im gonna just bring a whole bunch of mine because im tired of feeling super cautious about them,joy
i will come home feeling amazed at the incredible experience i had even if while i was there i had dysentery or motion sickness or just plain homesickness,surprise
i already begin to feel suspicious so i put my theory to the test,fear
i feel like the only married bi woman loving woman in the world,love
i feel calmer more resigned and acepting of life than i have been in a good while,sadness
i could see the library clearly in my mind and felt all contemplative like you feel in a library and the nature of the feeling was like recalling a fond memory or the consciousness of a dream,love
i am so bored i feel like going on a hike a looong loong hikie i feel like joining facebook but they wont allow me wahwahwahwah depressedvoice and nic delicious toolbar no width height return false delicious,joy
i arrived at my moms house not feeling so hot but was glad to see her and louis dean and spend some time with them,love
i love indicate to me some distress or disappointment about how he she is feeling regarding my presence or involvement in his her life i get distressed too,fear
i also feel like louis being curious about mike s secret is more interesting in what s going to happen,surprise
i guess you cant see how wed feel a bit unwelcome,sadness
i haven t ran in a long time since my half marathon so my legs are feeling a bit shaky now,fear
i look at it like that it makes me feel outraged and angry,anger
i kiss mixie she makes me feel horny cause im the type of lover with the sensitivity when she kiss my neck and tickle me fancy the right kind of love on sunday morning,love
i cant say i didnt ever feel miserable especially in the beginning when i was so very very sick,sadness
i feel like im in that sweet spot in blogging where i still feel like i have so much to say,love
i reviewed i was feeling rather skeptical and a little frustrated,fear
i just feel like i am so uptight when im in a crowd of gay men,fear
i wont lie im a little worried and nervous and i feel inadequate for the job but ill just do my best thats all my heavenly father wants of me,sadness
im not feeling that sentimental,sadness
i feel hopeless that i will ever accomplish anything creative or fulfilling again,sadness
i had wanted to feel submissive,sadness
i deny that i myself is one of them using ipod almost every time en route which i feel listening is not that strange as it only requires ears,fear
i dont know whats going on but i feel so isolated and alone,sadness
i feel lonely here but now i also realize that if i go home or go where i have relatives i will only feel worse because they will help me beat me up,sadness
i won for the first few rounds feeling cool but then all the lucks went away and i was getting frustrated to the end hahaha,joy
i feel like im not supportive at all,love
i was feeling distressed and challenged by this struggle my boyfriend asked me what i thought i needed,fear
i want something that women will feel eager to hand out should the need arise,joy
i feel marcus does not deserve the casual opprobrium heaped upon him not least by conservative colleagues,joy
i am super proud of it because i feel like i never find anything cute in h amp m which is so frustrating,joy
i feel pressured to accept motherhood and wifely devotion as an honorable crown even though so many people think of it as a copout,fear
i often feel shaken but not on this one fact,fear
i am feeling very blessed surrounded by love near and far and so happy and excited about what the future holds,love
i am not excited today i feel nostalgic,love
i left his room with a huge sigh feeling frustrated that i cant seem to reach his heart much these days,anger
i feel beaten down and bruised but no longer do i feel broken,sadness
i can only conclude they proliferate this kinda crap for one reason they themselves are repressed sexually and know no other outlet to alleviate such frustration other than projecting their misery onto others and make them feel shitty too,sadness
i was feeling so apprehensive yesterday because i knew today was going to be such a tiring day and i dont like tiring days haishh,fear
i feel fond of its practicality technical features and its cheapness and really it does look pretty great over my black swiftly long sleeve,love
ill feel a little heartbroken when the whirlwind slows down,sadness
im feeling so contented,joy
i feel a bit more reluctant than excited,fear
i have no cash and a bazillion presents to buy so no one feels insulted and i know all im gonna get is more junk to clutter my space with that i dont want and that ill have to smile and say thank you for it anyway,anger
i feel a bit more curious than scared disgusted about things,surprise
i did feel a bit agitated knowing that i wasnt ahead as much as i would love to,anger
im feeling playful enough to accept it gracefully,joy
i will feel totally disillusioned by the entire system if you dare to go on your undeserving extended break and resolve nothing,sadness
i knows the score with how i feel about gb and has always been really supportive,love
i have a hard time telling anyone how i feel people mistake this for me just being a heartless bitch,anger
i feel like super nurse,joy
i remember how i was feeling gloomy on the th i even cried in front of him and he just hugged me and everything was okay,sadness
i thought ryan would be feeling cold,anger
i feel so much more elegant wearing heels to work,joy
i will have a small fenced off safety area in the corner if it looks like they re getting too aggressive or i feel things are getting too dangerous,anger
i feel amazing now and am looking forward to the big day tomorrow,surprise
i feel too uptight for my own good,fear
i usually make this when i feel like a lovely risotto its easy to make and easy on your wallet,love
i know i have been less than impressive in your opinion and i actually feel resigned,sadness
i suspect he feels insulted that i questioned him,anger
i certainly did not feel like a beloved member of a close united family,love
i wait until i have a topic that i feel passionate about discussing or when someone gives me an idea or when i have a burst of inspiration,love
got ill,fear
i cant help but feel a little insecure about my future,fear
i cant even call or text you right now to tell you how i feel and why because if i text or call you youre going to call me needy and annoying again,sadness
i already have done all i want to do and have nothing more to live for or im a dim wit for feeling satisfied,joy
i didnt and couldnt understand the emotional ramifications and incredible responsibility i would feel in caring for her as she is now a high need baby with some health problems,love
i feel being shocked very much to those gigantic shape roles i keep mars in memory especially is hard,surprise
i really need to rant because i am feeling damn shocked plus disappointment because i never expect him to do this,surprise
i feel like a tree shaken at its trunk and its leaves falling off,fear
i admitted to feeling paranoid but as it turns out i was right but i just wasnt listening to my inner feelings which is exactly what this card symbolises i do,fear
i feel it an unfortunate case of ignorance and a thick skull met with fear and dull instinct that has led to this person s dislike of me,sadness
i want to feel the anticipation of am i accepted or aren t i,love
i didnt feel so hot so it became quite a long week of bending over and kneeling on concrete,love
i get to walk it with you no matter where it leads i feel amazing too,surprise
i don t like or feel like financially supporting,love
i just wish the essays hasnt left me feeling oddly violent for the midnight hour wanting to shake him and yell elaborate,anger
i feel like i need to lead something and not this dumb organizational day committee at work that i am in charge of,sadness
i feel like i just got married so it was so strange to see my brother up there getting married the weirdest thing for me was to see him with a wedding ring on crazy,surprise
i had to do it all at once and then feeling overwhelmed and outfaced at it all,fear
i went to bed with the beginnings of a sore throat so when i woke up around am with it still feeling tender i decided to take a look,love
i am a bit more calm id like to express those same feelings but in a less bitchy manor,anger
i feel like the supportive wife who does whatever he says and sits at home waiting for him to call with a plan of action,love
i cant say what it is but no matter what he writes it just feels incredibly intelligent,joy
i feel calm strange if only because it is so foreign,joy
i feel complicit in supporting him by owning a copy,love
i am phy i feel very unwelcome and unwanted everywhere,sadness
i look back and though i m thankful for the start she gave me i took music with me to degree level and ended up being taught by the most amazing teachers at the royal academy of music i feel that i would have liked to have crafted instead,love
i love my mom and i know i cant fix how she feels but i can be supportive and loving and spend some time with her until she gets stronger,love
i feel so regretful and guilty to myself,sadness
i can never really shake off the feeling that i am not nearly as cool as i want to be,joy
i feel like i should be on that show strange addictions or intervention,surprise
i can really do is feel a little shocked and so confused as to how someone could actually be that blind to someone else,surprise
i feel honored just to get to peek into their classrooms,joy
i will feel it eventually but a wasn t sure,joy
i feel stupid for loving you,sadness
i just can t explain what it is but it s just a feeling you have when you re in tupelo that makes it a really special place,joy
i also feel that i am often a burden and in the way more than anything as a nursing student to the other nurses yet i must remember that while some may be grumpy at our presence everyone has to learn somewhere and boo friggety hoo if some medical personnel are irritated by the nursing students,anger
i have never gotten along since he joined the practice over a year ago because i always am made to feel that what i know intuitively about my kids is not valuable in assessing the problem and ultimately making a diagnosis,joy
i can feel curious about something but not feel any inspiration or desire to actually act on it,surprise
i feel like i am the funny one and when i am not funny i just bring everyone down,surprise
i want to write poems but feel bashful,fear
i want to be in the center of the action and find out every little detail that i can but i hate feeling like the unimportant last person to tell,sadness
someone not responding to my criticism,anger
i feel sympathetic to sara such a waste of young talent n good looks free her kill more pedophiles,love
i did feel my heart rate increase after the baths and i am curious as to how they d work in the long run on a fat loss plan but between the cost of lbs of ice at a time and the increasingly low temperatures in my apartment i gave them up after a short run,surprise
i can t think about what this time next year will feel like i must simply move forwards loving these friends while we dwell in the same space and giving thanks to the great god who has called us together for this season of our lives,love
i feel inadequate a class post count link href http www,sadness
i feel so heartbroken and i am so confused on what to do,sadness
i remember feeling so curious what it was like to feel this again,surprise
im even more excited to find out one of the few openly gay public figures in mexico is in this show hes one of the students so i feel like im kinda supporting that,love
i feel it is a pity that innocent people must bare their hearts and their private lives in such a public fashion to get the attention they deserve and also to expose the injustice that permeated their lives,joy
i feel rejected by my computer,sadness
i have encountered and my feelings towards them i was shocked,surprise
i believe this will allow me to really focus on and enjoy the nows rather than obsessing and feeling anxious about the future,fear
i got home from work on monday september rd feeling ridiculously exhausted,sadness
i was feeling very horny and badly wanted him to fuck me,love
i didnt feel like anything was resolved,joy
i am feeling i am so amazed by this sweet little baby that jason and i made,surprise
i partly blame my hormone crash from the mirena still for some of my feelings of anxiety and low feelings,sadness
i feel like interrupting myself today so im curious to see that,surprise
i cant seem to let out my feelings verbally so i just let them out in the form of obnoxious crying lol,anger
ive been making effort since christmas and bought some dresses and stuff for when i go on nights out but to be completely honest i feel like a bit of a fake when i wear them,sadness
i feel bothered about something,anger
i feel insecure about my mouth,fear
i bring forth to my mind an evening like most that i could not fall asleep and when i did i was awaken a short time later to a feeling that startled me,fear
i feel doubtful on a personal rights level a womens rights level an environment level,fear
i feel the curious gazes and stares from strangers in a community where everyone knows everyone except me,surprise
i had internalized all the guilt and shame from my thoughts with the added dose of already not feeling like i was appropriately devoted and it was ass,love
i feel assured that i am on the right path,joy
i couldnt help but feel curious as to who it was so i quietly and slowly opened the door and popped my head around the corner,surprise
i was worried last time but feeling more relaxed this time around,joy
i took my first attivan told my family my stomach didnt feel good and went upstairs and laid down on my nieces bed,joy
i cool down feel splendid,joy
i feel very blessed that we are able to be pregnant at this time,love
im feeling very blogger ish today and loving it,love
i heard of everything he said instead of feeling disgusted by what she did i am disgusted with what the boy is doing,anger
i feel a little less strange,surprise
i feel like my skill has been amputated and that i am useless not that i was very useful before but i m even less useful now,sadness
i can t imagine how disconnected i d feel without you guys out there supporting me every step of the way img src http blog,love
i am awake early and feeling ok at the moment,joy
i would love to know how they think and what they feel about the strange naked ape that has influenced so much of the planet,surprise
i would rather give an impromptu speech to a stadium full of people than feel vulnerable,fear
i made him feel as shitty as he made me feel oh so many years ago,sadness
i feel that shawshank gives us valuable insight into how human beings discover their influence compound its effect and manipulate their environment towards a desired outcome,joy
i feel that the effect anger had on me was far too dangerous and in this writer s opinion unnecessary,anger
i have a feeling that im going to become violent with certain people that i knew,anger
i know wed be terrible as a long term couple so that helps but i feel its unfortunate that we couldnt work things out because a connection like that is hard to find,sadness
i feel amazed by the way we can travel thru it at mph with conditioned air and sleeping baby dogs in the back seat,surprise
i know how the staff must have been feeling but i was a bit surprised to see that not one of them at anytime in my field of vision was smiling,surprise
i was in a flirty touchy feely mood and she was in an irritable mood and we just kept clashing,anger
i said or answered because all i can remember is a crushing roaring wall of sound the sort that comes from stuffing your head inside of a seashell so i have no idea who spoke first or about what but i remember feeling like nothing i said or quipped impressed her whatsoever,surprise
i would be feeling fearful at not having his physical presence with me how would i get along if he really did leave,fear
i would go back to that state where i loved to talk and be obnoxious i would feel that people hated it and would either want to beat me up tell me to shut up and think that i m being identified as a narcissistic individual,sadness
i feel gloomy recentry,sadness
i was going to bed after a full day with my husband my kids and my part time job outside of the home and feeling mildly discontent,sadness
i read other threads i feel like a wimpy slacker which i know i m not,fear
i am feeling handsome,joy
i feel badly for this precious child because when you are ripped away from your relatives it leaves a deep emotional and psychological scar,joy
i feel that many people are reluctant to talk to their phone in public because they might seem crazy or too geeky,fear
i already feel like i know i m horrible at,sadness
i feel so strange now,surprise
i am feeling a little bit less valued than i know i am,joy
i feel lighter i worry less and i am so unbelievably surprised,surprise
i feel like a loser and extremely bothered by the fact that im putting all these questions on my blog oh its because i know that ive failed to keep up the show and have shown my vulnerability,anger
i am not a big proponent of the term hate crime when used in conjunctions with any violent crime as i really feel that all violent crimes are in essence crimes of hate,anger
i left feeling like i would have just liked to have seen more,love
i was feeling nostalgic and decided to flip through the journal,love
i feel like a total noob well i am one technically still it was a funny yet dizzying experience,joy
i mean people were talking about feeling personally offended by an act that had nothing to do with them,anger
i woke up with and went to bed feeling each night surprised me but excited me as i was fully present with my children from before the sun went up until after it went down,surprise
i think im getting the feeling that were the weird ones for using dryers most of the time,surprise
